seed,n_true,n_assumed,delta_n,delta_n_over_n,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,scale_bias_frac,scale_bias_pct,scale_bias_pct_control,bias_over_control,holdout_floor_pct,scale_bias_over_floor,num_comparisons,num_frames,degenerate_observations_at_solution,degenerate_observations_cause_above_interface,degenerate_observations_cause_behind_camera,degenerate_observations_cause_interface_below_camera,degenerate_observations_fate_extended,degenerate_observations_fate_penalized
45,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7117995694206957,0.33534682999276527,0.4578975274133854,0.01236081612414483,1.0002060136020692,0.020601360206917718,0.030877864938982924,0.010276504732065206,1.0468976610769782,0.019678485274028042,4705,30,0,0,0,0,0,0
45,1.333,1.327,-0.006000000000000005,-0.004501125281320334,0.7112983054027434,0.3356681270923359,0.45843004331461096,0.013891029787795934,1.00023151716313,0.02315171631299684,0.030877864938982924,0.0077261486259860845,1.0468976610769782,0.022114593597601415,4705,30,0,0,0,0,0,0
45,1.333,1.329,-0.0040000000000000036,-0.0030007501875468894,0.7109514032467362,0.3360199787936516,0.4589939992919556,0.015429491858851426,1.0002571581976476,0.025715819764760006,0.030877864938982924,0.005162045174222918,1.0468976610769782,0.024563833429817095,4705,30,0,0,0,0,0,0
45,1.333,1.331,-0.0020000000000000018,-0.0015003750937734447,0.7107573408646007,0.336403836817104,0.459589561162409,0.0169740597831188,1.0002829009963854,0.028290099638539346,0.030877864938982924,0.0025877653004435786,1.0468976610769782,0.027022793812946706,4705,30,0,0,0,0,0,0
45,1.333,1.333,0.0,0.0,0.7107152535970264,0.33680739737844295,0.46021639325915326,0.018526718963384946,1.0003087786493898,0.030877864938982924,0.030877864938982924,0.0,1.0468976610769782,0.02949463551883175,4705,30,0,0,0,0,0,0
45,1.333,1.335,0.0020000000000000018,0.0015003750937734447,0.7108238055070331,0.337222275395379,0.46087470796536156,0.020088558841219132,1.0003348093140203,0.03348093140203012,0.030877864938982924,0.002603066463047199,1.0468976610769782,0.03198109294425893,4705,30,0,0,0,0,0,0
45,1.333,1.337,0.0040000000000000036,0.0030007501875468894,0.7110822616739736,0.3376615080329319,0.46156410026918293,0.021659688710779484,1.0003609948118464,0.03609948118463713,0.030877864938982924,0.005221616245654204,1.0468976610769782,0.034482340086136404,4705,30,0,0,0,0,0,0
45,1.333,1.339,0.006000000000000005,0.004501125281320334,0.7114892658993779,0.33811566340730864,0.46228476199541246,0.023239543264396707,1.0003873257210734,0.03873257210733616,0.030877864938982924,0.007854707168353237,1.0468976610769782,0.03699747697161792,4705,30,0,0,0,0,0,0
45,1.333,1.341,0.008000000000000007,0.006001500375093779,0.7120433699715415,0.338586297200966,0.4630365825105933,0.024827458959302662,1.0004137909826551,0.04137909826551489,0.030877864938982924,0.010501233326531967,1.0468976610769782,0.03952544723707458,4705,30,0,0,0,0,0,0
45,1.333,1.343,0.010000000000000009,0.0075018754688672236,0.7127435312559439,0.3390740780351655,0.4638193301942625,0.026425936480112197,1.0004404322746685,0.04404322746685008,0.030877864938982924,0.013165362527867153,1.0468976610769782,0.04207023198575241,4705,30,0,0,0,0,0,0
46,1.333,1.323,-0.010000000000000009,-0.0075018754688672236,0.7082731343752634,0.37925320231162374,0.542648781531281,0.02779289676721611,1.0004632149461203,0.04632149461203383,0.05629043108470455,0.00996893647267072,1.0468976610769782,0.044246440062136905,4690,30,0,0,0,0,0,0
46,1.333,1.325,-0.008000000000000007,-0.006001500375093779,0.7075947305741396,0.37958373243731663,0.5433022772969095,0.028976444046178804,1.000482940734103,0.04829407341029324,0.05629043108470455,0.007996357674411314,1.0468976610769782,0.046130653650149074,4690,30,0,0,0,0,0,0
46,1.333,1.327,-0.006000000000000005,-0.004501125281320334,0.7070648910113118,0.3799363977859344,0.5439826028601115,0.030166093791700335,1.0005027682298617,0.05027682298617275,0.05629043108470455,0.0060136080985317975,1.0468976610769782,0.04802458239752998,4690,30,0,0,0,0,0,0
