residual_x_px,residual_y_px,camera,is_auxiliary
-7.244278350349987,1.9273645111271662,e3v8250,True
-7.232257559735899,-6.066158549328293,e3v8250,True
-7.209812577523394,-42.43490105925321,e3v8250,True
-7.207383107934447,3.295453204247508,e3v8250,True
-7.198312878783554,18.974618318552302,e3v8250,True
-7.176636264400258,2.8878173373535674,e3v8250,True
-7.161472985927958,4.6200985963392895,e3v8250,True
-7.1344308827751775,-3.491673046637402,e3v8250,True
-7.0447800267807,15.069412371438716,e3v8250,True
-7.027120577626079,-6.491061006424616,e3v8250,True
-7.02119143619052,-16.832449037342826,e3v8250,True
-6.998994582103705,-2.4164065222755653,e3v8250,True
-6.988455166138351,-16.96956120179027,e3v8250,True
-6.977919212791107,-2.8358444533131433,e3v8250,True
-6.975623989159658,-1.5199398639305173,e3v8250,True
-6.933310272480867,-21.18175793128205,e3v8250,True
-6.9153508650503,-1.3142931871039991,e3v8250,True
-6.910767335784385,-4.17901276864518,e3v8250,True
-6.909224765248382,0.870429608644713,e3v8250,True
-6.904663169922969,14.397692908113584,e3v8250,True
-6.887337636029656,0.5646179247044074,e3v8250,True
-6.858849187911801,18.113689527698796,e3v8250,True
-6.844958074556871,-5.446674726623996,e3v8250,True
-6.828091478217857,-3.106332471194719,e3v8250,True
-6.802038921313738,-12.270458143196038,e3v8250,True
-6.793893065107113,-0.5150051912306708,e3v8250,True
-6.791722138468003,-10.20662092292514,e3v8250,True
-6.780964119830514,0.5489952125611808,e3v8250,True
-6.769313540161193,-7.641945619469993,e3v8250,True
-6.732535837901082,-9.638643831133663,e3v8250,True
-6.7282652448784575,0.38450015030360873,e3v8250,True
-6.705117912709511,-5.220980355930351,e3v8250,True
-6.702337142074157,-19.576511504437576,e3v8250,True
-6.697725566546978,-11.167791052568418,e3v8250,True
-6.684181834746596,-1.935816709095775,e3v8250,True
-6.6800046063393665,-3.197344141931353,e3v8250,True
-6.67490092508524,-14.413472335726283,e3v8250,True
-6.646953108606908,-14.099474537987817,e3v8250,True
-6.6313448018179315,-30.117428609815533,e3v8250,True
-6.608612924561612,0.9581439720977869,e3v8250,True
-6.6076433149346485,-2.6273505703167075,e3v8250,True
-6.606112146554096,-13.728158823373406,e3v8250,True
-6.604287576871911,-6.512992892996749,e3v8250,True
-6.5946152641135996,7.308968316990104,e3v8250,True
-6.571485936220029,-8.1400850693733,e3v8250,True
-6.568254452774909,10.467764824950848,e3v8250,True
-6.5621242993070155,-0.06482789399365174,e3v8250,True
-6.538123184438518,-0.669732093368907,e3v8250,True
-6.524456136535832,-20.16517581925018,e3v8250,True
-6.50054304090304,-4.538645594794161,e3v8250,True
-6.47760514226502,18.445431767047864,e3v8250,True
-6.471319380404793,-9.139446630823727,e3v8250,True
-6.471269713032143,-24.492157327057612,e3v8250,True
-6.451887435652225,3.413669750867257,e3v8250,True
-6.451816248919158,-0.10366888530404594,e3v8250,True
-6.448707231456865,-16.443312801853153,e3v8250,True
-6.384714028584426,-5.272111327104653,e3v8250,True
-6.360889793800197,-11.463612303489754,e3v8250,True
-6.350353654261767,-20.22973387272623,e3v8250,True
-6.344698578681346,-18.608493692267416,e3v8250,True
-6.342858147893935,-9.706241188342233,e3v8250,True
-6.338517059481319,22.07891275356269,e3v8250,True
-6.285886669364572,-1.268051317010645,e3v8250,True
-6.2172367999124845,-13.120127009616454,e3v8250,True
-6.204012094653876,-11.627731221049999,e3v8250,True
-6.195061991225884,-6.76339257909342,e3v8250,True
-6.179406502669735,-7.216414652349954,e3v8250,True
-6.157507004027821,-25.28205768062162,e3v8250,True
-6.11703120934726,-5.028000754336745,e3v8250,True
-6.108058628628328,-21.456911481594716,e3v8250,True
-6.098456877351964,0.014413065372991696,e3v8250,True
-6.082878507432156,-65.11844403595478,e3v8250,True
-6.069331099793999,-13.123815799039107,e3v8250,True
-6.040346056007479,-9.372219701291556,e3v8250,True
-6.039875849759937,-0.44518001339008606,e3v8250,True
-6.023774492159305,-16.649913651633597,e3v8250,True
-5.991494973212639,-2.060153669846386,e3v8250,True
-5.958702179401712,-6.031083084532611,e3v8250,True
-5.958103401935091,-4.309745522859089,e3v8250,True
-5.925344637610806,-18.904750365868267,e3v8250,True
-5.92529741797091,-10.802625529057536,e3v8250,True
-5.9163344033347585,8.419419957091009,e3v8250,True
-5.9026270875323235,-2.771721660500134,e3v8250,True
-5.896607261978488,-3.793217541570584,e3v8250,True
