test_depth_m,model,signed_mean_mm,rmse_mm,scale_factor,calib_depth_min_m,calib_depth_max_m,xy_rmse_mm,z_rmse_mm,anisotropy_ratio,n_points,seed
1.4,non_refractive,0.20765997056193744,0.5586903779320365,1.0034609995093655,1.215465955370196,2.0046278333472314,15.076237042595304,10.808093588335451,0.7168959706456625,4294,46
1.4,refractive,0.0275642179657414,0.3910583716836807,1.0004594036327623,1.215465955370196,2.0046278333472314,0.5227645913639672,1.2635802203532447,2.417111336971741,4294,46
1.5,non_refractive,0.18949976581969427,0.4911603584490626,1.0031583294303283,1.215465955370196,2.0046278333472314,15.90388035362186,29.117042515984394,1.8308137302701377,4288,46
1.5,refractive,0.03224825550779839,0.421347262346744,1.00053747092513,1.215465955370196,2.0046278333472314,0.5558050101978412,1.4283965188004502,2.569959774727483,4288,46
1.7,non_refractive,0.24688637092540452,0.49044949401396615,1.0041147728487567,1.215465955370196,2.0046278333472314,18.263741222144173,70.65519944472283,3.868604936159289,4312,46
1.7,refractive,0.034609389488135314,0.39716079406977417,1.0005768231581356,1.215465955370196,2.0046278333472314,0.5575352704449636,1.3555353299615347,2.4312996895778354,4312,46
2.0,non_refractive,0.35059216745677135,0.5811329381366538,1.0058432027909463,1.215465955370196,2.0046278333472314,21.905134484050752,132.2768056695322,6.038621025853262,4312,46
2.0,refractive,0.03005478359432607,0.38412669105754443,1.0005009130599054,1.215465955370196,2.0046278333472314,0.5946509480759224,1.339238548118916,2.2521422902834214,4312,46
2.5,non_refractive,0.5635847548197637,0.9165040076158898,1.009393079246996,1.215465955370196,2.0046278333472314,27.921064969301437,229.83656499666202,8.231654675398735,4312,46
2.5,refractive,0.040612793888135955,0.4124121395603185,1.0006768798981356,1.215465955370196,2.0046278333472314,0.6819674577421051,1.4567146806197575,2.1360472029599884,4312,46
1.1,non_refractive,0.43126326097593615,1.1438218192236278,1.0071877210162656,1.3167227128166583,2.0640686187629416,11.810492850066167,86.66189238760906,7.337703302290517,4054,47
1.1,refractive,0.03174593764983228,0.40125777039641425,1.0005290989608306,1.3167227128166583,2.0640686187629416,0.4230068832423927,1.5171765151337508,3.586647346030002,4054,47
1.2,non_refractive,0.37340071806459757,1.0545243200876333,1.0062233453010767,1.3167227128166583,2.0640686187629416,12.455267157945023,66.93701972781858,5.374193815274406,4247,47
1.2,refractive,0.02766041562613485,0.3778437528438728,1.0004610069271023,1.3167227128166583,2.0640686187629416,0.40322922406167633,1.4348555668332734,3.5584116458131603,4247,47
1.3,non_refractive,0.2858618554594302,0.7441085783697003,1.0047643642576571,1.3167227128166583,2.0640686187629416,13.310884133642269,45.47711791970046,3.41653623178647,4282,47
1.3,refractive,0.028616965116505213,0.40328667510837124,1.0004769494186083,1.3167227128166583,2.0640686187629416,0.4299443248724066,1.4543523274141177,3.3826526907773977,4282,47
1.4,non_refractive,0.269101576647363,0.6226276660278529,1.004485026277456,1.3167227128166583,2.0640686187629416,14.140796203818415,24.421082728323416,1.7269948860255149,4294,47
1.4,refractive,0.02875176823309764,0.3914641264104296,1.0004791961372184,1.3167227128166583,2.0640686187629416,0.4092001521207789,1.4229235912312637,3.4773290866501814,4294,47
1.5,non_refractive,0.24417274004859577,0.5338641990454299,1.0040695456674766,1.3167227128166583,2.0640686187629416,14.665290008005185,7.430309223856628,0.5066595491668235,4288,47
1.5,refractive,0.03276629749682684,0.42101114144452206,1.0005461049582804,1.3167227128166583,2.0640686187629416,0.45459092893694697,1.5480263467765607,3.405317282499661,4288,47
1.7,non_refractive,0.24403235194640358,0.481209790563237,1.0040672058657734,1.3167227128166583,2.0640686187629416,16.10670846549716,38.56250487453122,2.394189039749341,4312,47
1.7,refractive,0.03460360410101222,0.39622383567759,1.000576726735017,1.3167227128166583,2.0640686187629416,0.4420522752069827,1.4910077192736446,3.3729217174043686,4312,47
2.0,non_refractive,0.24048054274419714,0.48894907954374706,1.0040080090457366,1.3167227128166583,2.0640686187629416,18.239932973708296,99.5456831701033,5.4575684742697295,4312,47
2.0,refractive,0.029999476486960712,0.3837174263417163,1.0004999912747827,1.3167227128166583,2.0640686187629416,0.44452059291103413,1.4670103345836703,3.3002078148430707,4312,47
2.5,non_refractive,0.29322064701464695,0.6993713963681633,1.0048870107835775,1.3167227128166583,2.0640686187629416,21.684923116405585,199.2855167123167,9.190049493952255,4312,47
2.5,refractive,0.038451039152589406,0.41232919668427903,1.0006408506525433,1.3167227128166583,2.0640686187629416,0.5125207670180062,1.516279219229857,2.9584737181519634,4312,47
1.1,non_refractive,0.20724489134782634,0.8729909416953897,1.0034540815224637,1.1289374306521345,2.0100206107518,2.4186461935713464,55.28614222938835,22.858300803290884,4054,48
1.1,refractive,0.03446983717523273,0.400539403605798,1.0005744972862538,1.1289374306521345,2.0100206107518,0.6010321053376716,1.352495274724197,2.2502879009505468,4054,48
